"subject","absVD","OV","trial","choice","rt","leftval","rightval","VD","fixDurLeft","fixDurRight","fixDurTotal","EL","ER","x1","x2"
3,2,16,20,1,3287,7,9,-2,1592,1295,2887,0.55143747835123,0.44856252164877,-0.177000346380326,-1.82299965361967
3,2,16,21,0,598,7,9,-2,0,198,198,0,1,-9,7
3,2,16,22,1,1211,9,7,2,337,474,811,0.415536374845869,0.584463625154131,-0.351418002466092,2.35141800246609
3,2,16,23,0,776,9,7,2,0,376,376,0,1,-7,9
3,2,16,24,0,2126,9,7,2,863,863,1726,0.5,0.5,1,1
3,2,16,25,0,719,7,9,-2,0,319,319,0,1,-9,7
3,2,16,26,1,603,9,7,2,203,0,203,1,0,9,-7
3,2,16,27,1,1404,9,7,2,390,614,1004,0.388446215139442,0.611553784860558,-0.784860557768924,2.78486055776892
3,2,16,28,1,1750,9,7,2,662,688,1350,0.49037037037037,0.50962962962963,0.845925925925926,1.15407407407407
3,2,16,29,0,605,9,7,2,0,205,205,0,1,-7,9
3,2,16,30,1,780,7,9,-2,380,0,380,1,0,7,-9
3,2,16,31,1,2160,9,7,2,1065,695,1760,0.605113636363636,0.394886363636364,2.68181818181818,-0.681818181818181
3,2,16,32,0,1049,9,7,2,441,208,649,0.679506933744222,0.320493066255778,3.87211093990755,-1.87211093990755
3,2,16,33,0,823,7,9,-2,0,423,423,0,1,-9,7
3,2,16,34,1,569,9,7,2,169,0,169,1,0,9,-7
3,2,16,35,1,1339,7,9,-2,432,507,939,0.460063897763578,0.539936102236422,-1.63897763578275,-0.361022364217252
3,2,16,36,0,1317,7,9,-2,565,352,917,0.616139585605234,0.383860414394766,0.858233369683751,-2.85823336968375
3,2,16,37,0,550,7,9,-2,0,150,150,0,1,-9,7
3,2,16,38,1,704,9,7,2,304,0,304,1,0,9,-7
3,2,16,39,0,935,7,9,-2,0,535,535,0,1,-9,7
3,2,16,40,1,874,7,9,-2,474,0,474,1,0,7,-9
3,2,16,41,0,1270,9,7,2,141,729,870,0.162068965517241,0.837931034482759,-4.40689655172414,6.40689655172414
3,2,16,42,1,685,9,7,2,285,0,285,1,0,9,-7
3,2,16,43,0,3494,7,9,-2,1665,1429,3094,0.538138332255979,0.461861667744021,-0.389786683904331,-1.61021331609567
3,2,16,44,1,1381,9,7,2,668,313,981,0.680937818552497,0.319062181447503,3.89500509683996,-1.89500509683996
3,2,16,45,0,1638,9,7,2,358,880,1238,0.289176090468498,0.710823909531502,-2.37318255250404,4.37318255250404
3,2,16,46,0,2398,7,9,-2,1300,698,1998,0.650650650650651,0.349349349349349,1.41041041041041,-3.41041041041041
3,2,16,47,1,1126,9,7,2,215,511,726,0.296143250688705,0.703856749311295,-2.26170798898072,4.26170798898072
3,2,16,48,1,546,9,7,2,146,0,146,1,0,9,-7
3,2,16,49,0,956,7,9,-2,0,556,556,0,1,-9,7
3,2,16,50,1,3173,7,9,-2,1363,1410,2773,0.491525423728814,0.508474576271186,-1.13559322033898,-0.864406779661017
3,2,16,51,1,981,9,7,2,259,322,581,0.44578313253012,0.55421686746988,0.132530120481928,1.86746987951807
3,2,16,52,1,1973,9,7,2,925,648,1573,0.588048315321043,0.411951684678957,2.40877304513668,-0.408773045136682
3,2,16,53,0,1828,9,7,2,448,980,1428,0.313725490196078,0.686274509803922,-1.98039215686275,3.98039215686275
3,2,16,54,1,1239,9,7,2,556,283,839,0.6626936829559,0.3373063170441,3.6030989272944,-1.6030989272944
3,2,16,55,0,855,7,9,-2,0,455,455,0,1,-9,7
3,2,16,56,1,1414,9,7,2,395,619,1014,0.389546351084813,0.610453648915187,-0.767258382642999,2.767258382643
3,2,16,57,0,1492,7,9,-2,400,692,1092,0.366300366300366,0.633699633699634,-3.13919413919414,1.13919413919414
3,2,16,58,1,2475,9,7,2,1297,778,2075,0.625060240963855,0.374939759036145,3.00096385542169,-1.00096385542169
3,2,16,59,0,732,9,7,2,0,332,332,0,1,-7,9
3,2,16,60,1,1566,7,9,-2,687,479,1166,0.589193825042882,0.410806174957118,0.427101200686106,-2.42710120068611
3,2,16,61,0,585,9,7,2,0,185,185,0,1,-7,9
3,2,16,62,1,2402,7,9,-2,994,1008,2002,0.496503496503497,0.503496503496504,-1.05594405594406,-0.944055944055943
3,2,16,63,1,1246,9,7,2,505,341,846,0.596926713947991,0.403073286052009,2.55082742316785,-0.550827423167849
3,2,16,64,0,1205,7,9,-2,665,140,805,0.826086956521739,0.173913043478261,4.21739130434783,-6.21739130434783
3,2,16,65,1,4542,9,7,2,1521,2621,4142,0.367213906325447,0.632786093674553,-1.12457749879285,3.12457749879285
3,2,16,66,1,1173,9,7,2,448,325,773,0.579560155239327,0.420439844760673,2.27296248382924,-0.272962483829237
3,2,16,67,1,1279,7,9,-2,259,620,879,0.294653014789534,0.705346985210466,-4.28555176336746,2.28555176336746
3,2,16,68,1,906,7,9,-2,506,0,506,1,0,7,-9
3,2,16,69,0,1465,7,9,-2,419,646,1065,0.393427230046948,0.606572769953052,-2.70516431924883,0.705164319248826
3,2,16,70,0,1163,7,9,-2,715,48,763,0.937090432503277,0.0629095674967235,5.99344692005242,-7.99344692005242
3,2,16,71,0,1784,7,9,-2,657,727,1384,0.47471098265896,0.52528901734104,-1.40462427745665,-0.595375722543353
